;faturado;valor_entrada;qtd_parcelas;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;idade;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;anos_empresa;salario;mda_cliente
589;367.96;;6;367.96;61.33;5;;;;9;;0.0;2;26;True;1;0.0;2.0;True;1.0;10.0;77.0;True;8;681.9;21
590;95.8;;5;95.8;19.16;21;0.0;0.0;0.0;0;;;2;26;True;1;0.0;2.0;True;1.0;10.0;77.0;True;8;681.9;21
591;241.8;;5;241.8;48.36;1;0.0;1.0;0.0;0;1.0;11.0;2;26;True;1;0.0;2.0;True;1.0;10.0;77.0;True;8;681.9;21
592;150.0;;3;150.0;50.0;-23;0.0;0.0;0.0;0;;;1;27;False;1;0.0;1.0;True;2.0;;;False;0;;916
593;244.2;;6;273.54;45.59;916;0.0;5.0;0.0;1;;0.0;1;27;False;1;0.0;1.0;True;2.0;;;False;0;;916
594;108.7;;4;108.7;27.18;23;2.0;3.0;0.0;0;;;1;35;True;1;1.0;1.0;True;1.0;5.0;66.0;False;0;2500.0;23
595;350.0;;3;350.0;116.67;649;0.0;2.0;0.0;0;;;1;38;True;2;0.0;1.0;False;1.0;20.0;82.0;False;17;2790.0;649
596;289.69;;5;297.2;59.44;59;0.0;0.0;0.0;0;;;1;27;False;5;0.0;0.0;True;1.0;2.0;76.0;True;6;700.0;105
597;209.79;;5;217.3;43.46;-2;0.0;0.0;0.0;1;;16.0;1;27;False;5;0.0;0.0;True;1.0;2.0;76.0;True;6;700.0;105
598;124.87;;5;132.35;26.47;98;0.0;0.0;0.0;1;1.0;10.0;1;27;False;5;0.0;0.0;True;1.0;2.0;76.0;True;6;700.0;105
599;99.9;;4;105.92;26.48;93;0.0;0.0;0.0;2;1.0;1.0;1;27;False;5;0.0;0.0;True;1.0;2.0;76.0;True;6;700.0;105
600;79.7;;4;85.72;21.43;79;0.0;0.0;0.0;2;2.0;1.0;1;27;False;5;0.0;0.0;True;1.0;2.0;76.0;True;6;700.0;105
601;99.89;;3;104.4;34.8;105;0.0;0.0;0.0;5;;22.0;1;27;False;5;0.0;0.0;True;1.0;2.0;76.0;True;6;700.0;105
602;514.0;;8;716.56;89.57;843;0.0;0.0;0.0;0;;;2;46;False;1;0.0;0.0;True;1.0;40.0;66.0;False;0;850.0;843
603;75.25;;2;75.25;37.63;7;0.0;0.0;0.0;0;;;1;33;False;1;0.0;1.0;True;2.0;4.0;66.0;False;0;1450.0;896
604;80.9;;3;80.9;26.97;867;1.0;6.0;0.0;0;1.0;;1;33;False;1;0.0;1.0;True;2.0;4.0;66.0;False;0;1450.0;896
605;122.85;;3;122.85;40.95;896;0.0;5.0;0.0;0;3.0;4.0;1;33;False;1;0.0;1.0;True;2.0;4.0;66.0;False;0;1450.0;896
606;40.0;;3;40.0;13.33;896;0.0;5.0;0.0;0;3.0;4.0;1;33;False;1;0.0;1.0;True;2.0;4.0;66.0;False;0;1450.0;896
607;69.9;;3;69.9;23.3;879;0.0;1.0;0.0;1;3.0;0.0;1;33;False;1;0.0;1.0;True;2.0;4.0;66.0;False;0;1450.0;896
608;113.52;;3;113.52;37.84;900;0.0;0.0;0.0;0;;;1;42;False;1;0.0;1.0;True;2.0;;68.0;False;0;880.0;900
609;236.8;;5;236.8;47.36;24;;;;2;;6.0;2;36;True;2;0.0;0.0;True;5.0;5.0;21.0;True;12;950.0;315
610;214.9;;4;214.9;53.73;315;;;;3;;7.0;2;36;True;2;0.0;0.0;True;5.0;5.0;21.0;True;12;950.0;315
611;400.0;;10;415.0;41.5;24;0.0;0.0;0.0;0;;;2;36;True;2;0.0;0.0;True;5.0;5.0;21.0;True;12;950.0;315
612;292.98;;6;301.98;50.33;25;0.0;0.0;0.0;0;1.0;1.0;2;36;True;2;0.0;0.0;True;5.0;5.0;21.0;True;12;950.0;315
613;297.8;;3;297.8;99.27;21;0.0;0.0;0.0;4;;30.0;1;44;False;1;0.0;0.0;;1.0;;70.0;True;23;933.0;136
614;346.92;;3;346.92;115.64;136;0.0;0.0;0.0;2;;0.0;1;44;False;1;0.0;0.0;;1.0;;70.0;True;23;933.0;136
615;68.7;;3;68.7;22.9;42;0.0;0.0;0.0;3;;34.0;1;44;False;1;0.0;0.0;;1.0;;70.0;True;23;933.0;136
616;70.0;;3;70.0;23.33;8;0.0;1.0;0.0;0;2.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
617;96.0;;4;96.0;24.0;16;0.0;0.0;0.0;0;3.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
618;59.9;;2;59.9;29.95;21;1.0;4.0;0.0;0;4.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
619;78.0;;3;78.0;26.0;9;;;;3;5.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
620;108.5;;4;108.5;27.13;122;;;;4;5.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
621;89.0;;4;89.0;22.25;175;;;;5;5.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
622;22.0;;1;22.0;22.0;55;;;;6;8.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
623;108.5;;5;108.5;21.7;582;;;;6;9.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
624;274.0;;6;274.0;45.67;580;;;;5;6.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
625;55.9;;2;55.9;27.95;96;;;;6;8.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
626;118.5;;5;118.5;23.7;3;1.0;2.0;0.0;0;;;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
627;98.9;;5;98.9;19.78;25;0.0;1.0;0.0;0;2.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
628;292.0;;6;292.0;48.67;107;0.0;0.0;0.0;0;5.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
629;99.0;;5;99.0;19.8;6;0.0;0.0;0.0;0;6.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
630;213.5;;5;213.5;42.7;98;;;;3;5.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
631;219.9;;6;219.9;36.65;584;;;;6;8.0;0.0;2;38;False;1;3.0;0.0;True;1.0;20.0;20.0;True;12;1500.0;584
632;240.0;;3;240.0;80.0;3;;;;4;1.0;17.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
633;157.9;;3;157.9;52.63;3;0.0;0.0;3.0;5;1.0;25.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
634;321.6;;3;321.6;107.2;54;0.0;0.0;3.0;7;1.0;17.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
635;116.7;;2;116.7;58.35;4;0.0;0.0;3.0;7;1.0;17.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
636;289.8;;3;289.8;96.6;518;0.0;0.0;3.0;7;2.0;17.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
637;327.8;;3;327.8;109.27;434;0.0;0.0;2.0;8;2.0;14.0;1;29;True;1;0.0;1.0;True;1.0;15.0;67.0;False;7;1130.79;518
